[理工] 台大106數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 座標, 02/03 22:40
[理工] 台大106數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,": 又(y1,y2)在uv基底的座標是(y1-y2,√ 3y2)=(0,1)", 02/03 22:42
[討論] 面授一整天都靠什麼提神? - 看板 graduate - 批踢踢實業坊,magic83v,: 意志力啊 面授一天而已就喊累 那到時候,  27.247.36.247 04/10 22:06
[討論] 面授一整天都靠什麼提神? - 看板 graduate - 批踢踢實業坊,magic83v,: 看書一整天你怎麼辦,  27.247.36.247 04/10 22:06
[理工] 107清大資應 計概( 線性代數 離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: tree上vertex可以當雙分圖 分兩邊看哪邊比較少就是verte,02/03 17:21
[理工] 107清大資應 計概( 線性代數 離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: x cover選的（？,02/03 17:21
[理工]交大96 數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 1.一樣 你的一般鏡射是指？ 這題就是一般鏡射, 01/30 23:19
[理工]交大96 數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,": 2 鏡射取的w要單位向量 但(a,b)未必單位 所以除掉長度", 01/30 23:20
[理工]交大96 數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 解答是用座標變換解 i-2uut是公式解 一樣, 01/30 23:41
[理工] 103中央線代 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 子空間會有獨立基底 反過來獨立基底生成子空間同個意思, 01/31 10:11
[理工] 107 中央OS - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 原文只提到abc沒錯  d我查很久都沒看到, 02/01 06:46
[理工] 對稱矩陣找eigenvalue - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 算AtA 或是中間那行*2-左邊*2-右邊*1, 01/30 12:06
[理工] 103 中山 離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: dn是全亂序 c選項只要求x1!=y1 全部-x1=y1, 01/30 12:33
[理工] 103 中山 離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,": (x,y)有 m*n個配對 每個關係1/0 2^(mn)", 01/30 12:41
[理工] 105交大 計系 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: branch handle移到前面 減少penalty 改善cpi 感覺合理,01/30 17:44
[理工] 105交大 計系 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  但後面說不增加cycle time 題目應該要給分支比較單元,01/30 17:44
[理工] 105交大 計系 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 的時間才能寫吧,01/30 17:44
[理工] 107 中央資工數學對答案 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: AxB有15個 所以AxB是2^225 不是A跟B的關係, 01/30 23:08
[理工] 102.105中央 離散 生成函數問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  https://i.imgur.com/n7it7xo.jpg, 01/29 11:42
[理工] 102.105中央 離散 生成函數問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 上面第一行列錯 第二行應該還是對的, 01/29 11:42
[理工] 105中正 線代 題庫 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 左右乘正交矩陣給他？ A=PDP^t, 01/29 11:46
[理工] 中山 104 離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  https://i.imgur.com/kuQLDJB.jpg, 01/29 12:18
[理工] 中山 104 離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 3當作b.h綁在一起 視為a.c.d.e.f.g.h 7個相異 分堆的方, 01/29 16:36
[理工] 中山 104 離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 法數 stirling number, 01/29 16:36
[理工] 中山 104 離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,": 相S(7,1)+S(7,2)+..到S(7,7)", 01/29 16:39
[理工] 107台大電機丙 資結對答案 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 7.8我選AA 有t(node) 找中間相當於二分搜尋的速度,01/29 17:35
[理工] 107台大電機丙 資結對答案 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 旋轉可能會影響到整棵樹s.t 花O(n)調整應該合理,01/29 17:36
[理工] 107台大電機丙 資結對答案 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 想問1. 至少修改4個link 是哪4個,01/29 17:40
[理工] 107台大電機丙 資結對答案 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 17c也看不太懂意思 qq,01/29 17:58
[理工] 107台大電機丙 資結對答案 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 哦對 7A忘記skew的情況,01/29 19:08
[理工] 107中山 資結 是非題對答案 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 8我會想寫t, 01/28 23:46
[理工] 107 交大 線代 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 已知是3跟6吧？, 01/29 10:45
[理工] 107 交大 線代 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  https://i.imgur.com/N5IUNas.jpg, 01/29 10:47
[理工] 107 交大 線代 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 講義跟網路上題目不一樣 題目有問題做法也有問題, 01/29 11:38
[理工] 107 交大 線代 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 原題是想給你第一個跟第二個vector 找出對應的value 再, 01/29 11:39
[理工] 107 交大 線代 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 用trace的方法, 01/29 11:39
[理工] 107 交大 線代 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 找第三個value跟vector, 01/29 11:39
[理工] 96交大 數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 其實就是I-2uu^t 都變成符號而已, 01/26 22:32
Re: [理工] 107 交大 資演 10 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 我以為是令兩個點叫u.v 把s.t接在上面就好, 01/27 12:05
Re: [理工] 107 交大 資演 10 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 要考慮所有點才對==, 01/27 12:24
[理工] 103中央 離散 鴿籠 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: ...這鴿籠觀念, 01/27 17:10
[理工] 103中央 離散 鴿籠 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 中央鴿籠算蠻愛考的 建議要看一下, 01/27 17:11
[心得] 請問大家做題目 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 至少另外兩科寫得完不會挫折 這樣很不錯了, 01/27 19:13
[理工] -107 資結 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 紅黑樹不超過2log(n+1)  感覺問這個有點細 不知道n+1跟n, 01/27 21:36
[理工] -107 資結 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: -1有沒有差, 01/27 21:36
[理工] 線代 旋轉矩陣特徵根 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 好像是這樣 順序反了 不太懂他先用eigenvalue value!=1, 01/25 16:23
[理工] 線代 旋轉矩陣特徵根 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 來否定的原因是什麼, 01/25 16:23
[理工] 線代 旋轉矩陣特徵根 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 感謝 後來有發現是這樣來的了, 01/26 01:19
[理工] 線代 旋轉矩陣特徵根 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 對, 01/26 14:58
[理工] 交大 數學95 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 縮圖錯？ run要有1個啊 沒東西的話 設的k run不就錯了, 01/25 16:41
[理工] 線代課本 1-26 例18 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 那兩個乘起來就是I 為了後面要結合兩項才故意寫成這樣, 01/25 16:55
[理工] 線代課本 1-26 例18 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 的, 01/25 16:55
[理工] 線代 minimal solution問 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: minimal是講長度最小 應該跟含不含ker(A)沒關係？, 01/26 13:21
[理工] 線代 minimal solution問 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: ［-2.0.2.0］應該不屬於RAt  是那個解集的空間裡面 只, 01/26 13:30
[理工] 線代 minimal solution問 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 有一個屬於RAt  所有才要找那個min sol, 01/26 13:30
[理工] 線代 minimal solution問 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  一開始取找least square 就只是隨便抓一個解+兩個生成, 01/26 13:36
[理工] 線代 minimal solution問 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 的向量, 01/26 13:36
[理工] 線代 minimal solution問 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 如果一開始取的就是R(A)^t的話 那就是你講的狀況沒錯, 01/26 13:37
[理工] 線代 minimal solution問 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 我是這樣想啦 有錯再幫我糾正qq, 01/26 13:37
[理工] Jordan form的P怎麼求 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,": 0矩陣的ker可以取span(1.0.0),(0.1.0),(0.0.1)", 01/26 16:59
[理工] 107台大電機丙 離散(9)(14) - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 空集合就不滿足反身性了 要有00跟11耶, 01/26 16:54
[理工] 107台大電機丙 離散(9)(14) - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: a是指空集合上的二元關係, 01/26 17:08
[理工] 107台大電機丙 離散(9)(14) - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 但是這題已經指定｛0.1｝上的二元關係了, 01/26 17:08
[理工] 106中央離散9.10線代17 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 17的a好像不能選 重複就不會n個了, 01/24 13:06
[理工] 考試相關！ - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 我X都寫X 乘都寫乘 這樣就不會搞錯了, 01/25 12:49
[心得] 108台大資工正取心得（代po） - 看板 graduate - 批踢踢實業坊,magic83v,: 10分怎麼回事XD,  27.242.193.79 03/31 22:38
[理工] 線代 反矩陣求法 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 哦哦了解 剛是想到可能3個eigenvalue 的情況會不會有例, 01/23 18:45
[理工] 線代 反矩陣求法 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 外出現之類的, 01/23 18:45
[理工] 線代 反矩陣求法 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 用多項式的角度考慮這個應該比較安全(?, 01/23 18:46
Re: [理工] 107中央資工 數學 對答案 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 那時候沒什麼人討論我答案應該錯很多0.0sry, 01/23 19:29
[理工] 106交大 線代 11-g - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 要看pivot得定義是什麼, 01/23 21:34
[理工] 離散整數nod n乘法群 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 講完之後好像釐清了0.0！ 感謝rice大,01/22 02:27
[理工] 102台大數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 最後一題 反例 3維空間的x.y垂直 但不為per, 01/22 12:24
[理工] 102台大數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: induced subgraph 原邊好像要在, 01/22 12:24
[理工] 106台大電機丙計系 對答案 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 2.A cisc format可長可短 risc fixed 32 能算short嗎(?, 01/21 14:32
[理工] 106台大電機丙計系 對答案 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,": 3.D not allowed access 算是illegal, s.f應該要指不在m", 01/21 14:34
