Re: [理工] 線代 p.1-63 範例4 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,": 的線性組合，最前面應該有先驗證a,b,c有沒有獨立的步驟被",04/04 08:40
Re: [理工] 線代 p.1-63 範例4 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 省略掉了,04/04 08:40
Re: [理工] 線代 p.1-63 範例4 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,": 驗證a,b,c有沒有獨立要做列運算，解a,b,c的線性組合也在",04/04 08:42
Re: [理工] 線代 p.1-63 範例4 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 做列運算，所以好像用反矩陣硬爆也不會比較慢就是了,04/04 08:42
[請益] 關於考上清大打算先休學 - 看板 graduate - 批踢踢實業坊,skyHuan,: 南大已經是清大多久了還在加註竹師,223.137.136.251 05/03 09:57
[請益] 關於考上清大打算先休學 - 看板 graduate - 批踢踢實業坊,skyHuan,: 12打電話問註冊組比較好吧 3問系辦,223.137.136.251 05/03 10:00
[請益] 關於考上清大打算先休學 - 看板 graduate - 批踢踢實業坊,skyHuan,: 併校隔年所有原竹教的科系分數都提升到,223.137.136.251 05/03 13:15
[請益] 關於考上清大打算先休學 - 看板 graduate - 批踢踢實業坊,skyHuan,: 跟清大差不多了，一些考不上的崩潰仔繼,223.137.136.251 05/03 13:15
[請益] 關於考上清大打算先休學 - 看板 graduate - 批踢踢實業坊,skyHuan,: 續同溫層優越吧,223.137.136.251 05/03 13:16
[理工] Register與Memory Size問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 16 instrs. => op code要4碼, 04/20 12:14
[理工] Register與Memory Size問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 32 regs => rs/rt要5碼, 04/20 12:14
[理工] Register與Memory Size問題 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 所以此type的指令需要4+5+5=14碼, 04/20 12:14
[請益] 當兵問題&徵資工所讀書會成員 - 看板 graduate - 批踢踢實業坊,skyHuan,: 今年很多人都是前者方案延畢半學期的, 223.137.74.183 04/30 12:05
[請益] 當兵問題&徵資工所讀書會成員 - 看板 graduate - 批踢踢實業坊,skyHuan,: 說錯 延畢半年也就是一個學期，現在因為6, 223.137.74.183 04/30 12:07
[請益] 當兵問題&徵資工所讀書會成員 - 看板 graduate - 批踢踢實業坊,skyHuan,: 月畢業兵太多排不進去其他月兵太少，所以, 223.137.74.183 04/30 12:07
[請益] 當兵問題&徵資工所讀書會成員 - 看板 graduate - 批踢踢實業坊,skyHuan,: 開放直接上網填要延徵, 223.137.74.183 04/30 12:07
[請益] 當兵問題&徵資工所讀書會成員 - 看板 graduate - 批踢踢實業坊,skyHuan,: 延徵是線上填 通常1月一畢業因為不是旺季, 223.137.74.183 04/30 20:03
[請益] 當兵問題&徵資工所讀書會成員 - 看板 graduate - 批踢踢實業坊,skyHuan,: 不會隔太久收到兵單 急的話可以去問區公, 223.137.74.183 04/30 20:03
[請益] 當兵問題&徵資工所讀書會成員 - 看板 graduate - 批踢踢實業坊,skyHuan,: 所能不能先排 因為1月不是旺季有提早講通, 223.137.74.183 04/30 20:04
[請益] 當兵問題&徵資工所讀書會成員 - 看板 graduate - 批踢踢實業坊,skyHuan,: 常都滿容易的, 223.137.74.183 04/30 20:04
[理工] 108台大資工線代三題 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 唯一堅持352, 03/15 20:14
[理工] 108台大資工線代三題 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 真的釣出Rice大>///<, 03/16 19:23
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 1. a - b的二補數算法是a + ~b +1所以cin設1, 03/20 23:01
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 3.  -1的二補數表示法是全1, 03/20 23:08
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 4. 因為溢位是 正+正=負 或 負+負=正, 03/20 23:09
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: cin xor cout可以看p154的例子有列出所有可能情況, 03/20 23:12
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 2. 那個應該不是公式，是二補數代表的十進位值, 03/20 23:14
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 二補數的MST權重是負的，例如1101=-8+4+0+1=-2, 03/20 23:16
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: Robertson是有號數乘法algo，修改hardware friendly成可, 03/20 23:18
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 以算有號數，可以估狗看看怎麼做的，但如果是資工的應該, 03/20 23:18
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,skyHuan,: 可以不用看，應該是不會考(其實是我不會XD), 03/20 23:18
